# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
107           	8.439755e-02	2.397988e-01	1.411818e-01	1.549884e-01	-1.380666e-02
108           	8.685283e-02	2.425442e-01	1.492345e-01	1.614701e-01	-1.223557e-02
109           	8.913166e-02	2.448147e-01	1.556652e-01	1.669643e-01	-1.129906e-02
110           	9.123471e-02	2.470711e-01	1.575336e-01	1.700015e-01	-1.246790e-02
111           	9.313818e-02	2.496290e-01	1.543331e-01	1.703047e-01	-1.597164e-02
112           	9.513739e-02	2.530973e-01	1.467334e-01	1.685041e-01	-2.177070e-02
113           	9.755076e-02	2.578419e-01	1.365890e-01	1.658453e-01	-2.925624e-02
114           	1.004847e-01	2.635463e-01	1.259999e-01	1.634847e-01	-3.748476e-02
115           	1.038939e-01	2.696101e-01	1.168220e-01	1.623050e-01	-4.548292e-02
116           	1.076734e-01	2.754824e-01	1.099684e-01	1.626576e-01	-5.268920e-02
117           	1.116540e-01	2.807721e-01	1.050525e-01	1.641803e-01	-5.912779e-02
118           	1.156516e-01	2.853222e-01	1.008774e-01	1.660903e-01	-6.521292e-02
119           	1.195934e-01	2.893532e-01	9.631789e-02	1.677523e-01	-7.143444e-02
120           	1.239029e-01	2.940421e-01	9.019413e-02	1.690000e-01	-7.880582e-02
121           	1.284809e-01	2.993026e-01	8.271172e-02	1.698367e-01	-8.712500e-02
122           	1.328491e-01	3.047168e-01	7.557495e-02	1.706366e-01	-9.506165e-02
123           	1.369837e-01	3.103529e-01	7.002861e-02	1.719980e-01	-1.019694e-01
124           	1.405871e-01	3.158128e-01	6.723143e-02	1.742028e-01	-1.069714e-01
125           	1.437436e-01	3.211206e-01	6.724999e-02	1.773686e-01	-1.101186e-01
126           	1.465470e-01	3.261878e-01	6.921817e-02	1.811561e-01	-1.119380e-01
127           	1.490111e-01	3.306976e-01	7.171459e-02	1.848684e-01	-1.131539e-01
128           	1.511424e-01	3.344133e-01	7.345512e-02	1.878700e-01	-1.144149e-01
129           	1.527362e-01	3.366975e-01	7.351757e-02	1.894950e-01	-1.159774e-01
130           	1.536917e-01	3.373250e-01	7.165312e-02	1.895182e-01	-1.178651e-01
131           	1.539728e-01	3.364130e-01	6.815414e-02	1.880498e-01	-1.198957e-01
132           	1.536845e-01	3.343608e-01	6.354604e-02	1.854575e-01	-1.219115e-01
133           	1.530285e-01	3.316678e-01	5.851619e-02	1.822866e-01	-1.237704e-01
134           	1.521530e-01	3.287348e-01	5.348529e-02	1.788957e-01	-1.254104e-01
135           	1.513379e-01	3.261309e-01	4.863782e-02	1.756569e-01	-1.270190e-01
136           	1.506804e-01	3.240705e-01	4.403425e-02	1.726975e-01	-1.286633e-01
137           	1.501599e-01	3.224198e-01	3.970011e-02	1.700099e-01	-1.303098e-01
138           	1.496979e-01	3.208366e-01	3.551485e-02	1.674553e-01	-1.319404e-01
139           	1.491942e-01	3.189611e-01	3.127095e-02	1.648297e-01	-1.335588e-01
140           	1.484904e-01	3.163846e-01	2.683660e-02	1.619087e-01	-1.350721e-01
141           	1.474123e-01	3.128513e-01	2.206738e-02	1.584460e-01	-1.363787e-01
142           	1.459477e-01	3.084558e-01	1.699672e-02	1.544461e-01	-1.374494e-01
143           	1.442089e-01	3.035573e-01	1.180966e-02	1.501137e-01	-1.383041e-01
144           	1.423781e-01	2.986975e-01	6.816361e-03	1.457862e-01	-1.389699e-01
145           	1.405888e-01	2.941985e-01	2.223707e-03	1.417006e-01	-1.394769e-01
146           	1.389521e-01	2.902697e-01	-1.932781e-03	1.379857e-01	-1.399185e-01
147           	1.375313e-01	2.868770e-01	-5.757212e-03	1.346527e-01	-1.404099e-01
148           	1.363897e-01	2.838762e-01	-9.346060e-03	1.317166e-01	-1.410627e-01
149           	1.355274e-01	2.810549e-01	-1.282027e-02	1.291172e-01	-1.419375e-01
150           	1.348724e-01	2.782266e-01	-1.626901e-02	1.267379e-01	-1.430069e-01
151           	1.343108e-01	2.752434e-01	-1.958691e-02	1.245174e-01	-1.441043e-01
152           	1.337719e-01	2.721049e-01	-2.254720e-02	1.224983e-01	-1.450455e-01
153           	1.333085e-01	2.690359e-01	-2.499077e-02	1.208131e-01	-1.458039e-01
154           	1.329894e-01	2.662871e-01	-2.685240e-02	1.195632e-01	-1.464156e-01
155           	1.328408e-01	2.639914e-01	-2.805062e-02	1.188155e-01	-1.468661e-01
156           	1.328700e-01	2.622031e-01	-2.856075e-02	1.185896e-01	-1.471503e-01
157           	1.330535e-01	2.608469e-01	-2.843114e-02	1.188379e-01	-1.472690e-01
158           	1.333628e-01	2.598336e-01	-2.775455e-02	1.194856e-01	-1.472401e-01
159           	1.337497e-01	2.590337e-01	-2.664319e-02	1.204281e-01	-1.470713e-01
160           	1.341468e-01	2.583021e-01	-2.520161e-02	1.215460e-01	-1.467476e-01
161           	1.344894e-01	2.575253e-01	-2.351158e-02	1.227337e-01	-1.462452e-01
162           	1.347444e-01	2.566272e-01	-2.164976e-02	1.239195e-01	-1.455692e-01
163           	1.349023e-01	2.555629e-01	-1.968120e-02	1.250617e-01	-1.447429e-01
164           	1.349734e-01	2.543478e-01	-1.762551e-02	1.261606e-01	-1.437861e-01
165           	1.350187e-01	2.530845e-01	-1.552371e-02	1.272568e-01	-1.427805e-01
166           	1.350413e-01	2.518397e-01	-1.338808e-02	1.283472e-01	-1.417353e-01
167           	1.350385e-01	2.506797e-01	-1.123690e-02	1.294201e-01	-1.406570e-01
168           	1.349913e-01	2.496903e-01	-9.146589e-03	1.304180e-01	-1.395646e-01
169           	1.349231e-01	2.490127e-01	-7.026514e-03	1.314098e-01	-1.384363e-01
170           	1.347955e-01	2.484887e-01	-4.928902e-03	1.323311e-01	-1.372600e-01
171           	1.345914e-01	2.480052e-01	-2.760336e-03	1.332113e-01	-1.359716e-01
172           	1.342679e-01	2.473953e-01	-5.342417e-04	1.340008e-01	-1.345350e-01
173           	1.338190e-01	2.466255e-01	1.813813e-03	1.347259e-01	-1.329121e-01
174           	1.332591e-01	2.456941e-01	4.326844e-03	1.354226e-01	-1.310957e-01
175           	1.326165e-01	2.446831e-01	7.116492e-03	1.361747e-01	-1.290582e-01
176           	1.319357e-01	2.436607e-01	1.020128e-02	1.370363e-01	-1.268351e-01
177           	1.312499e-01	2.426698e-01	1.351584e-02	1.380079e-01	-1.244920e-01
178           	1.305676e-01	2.417374e-01	1.705182e-02	1.390935e-01	-1.220417e-01
179           	1.299025e-01	2.408441e-01	2.065614e-02	1.402305e-01	-1.195744e-01
180           	1.292635e-01	2.399344e-01	2.416503e-02	1.413460e-01	-1.171809e-01
181           	1.286397e-01	2.389996e-01	2.759528e-02	1.424373e-01	-1.148421e-01
182           	1.280348e-01	2.380540e-01	3.097311e-02	1.435214e-01	-1.125483e-01
183           	1.274621e-01	2.371000e-01	3.426799e-02	1.445961e-01	-1.103281e-01
184           	1.269111e-01	2.361785e-01	3.756105e-02	1.456916e-01	-1.081306e-01
185           	1.263692e-01	2.353210e-01	4.086485e-02	1.468016e-01	-1.059368e-01
186           	1.258279e-01	2.345367e-01	4.414807e-02	1.479019e-01	-1.037538e-01
187           	1.252792e-01	2.338271e-01	4.743060e-02	1.489945e-01	-1.015639e-01
188           	1.247427e-01	2.332091e-01	5.069742e-02	1.500914e-01	-9.939397e-02
189           	1.242296e-01	2.326746e-01	5.393061e-02	1.511949e-01	-9.726430e-02
190           	1.238432e-01	2.322472e-01	5.680970e-02	1.522481e-01	-9.543835e-02
191           	1.235116e-01	2.318477e-01	5.945495e-02	1.532391e-01	-9.378411e-02
192           	1.231928e-01	2.314529e-01	6.194603e-02	1.541658e-01	-9.221975e-02
193           	1.228738e-01	2.311036e-01	6.444062e-02	1.550941e-01	-9.065346e-02
194           	1.225742e-01	2.308676e-01	6.702602e-02	1.560872e-01	-8.906118e-02
195           	1.223109e-01	2.307676e-01	6.969349e-02	1.571577e-01	-8.746417e-02
196           	1.219168e-01	2.302622e-01	7.267246e-02	1.582530e-01	-8.558056e-02
197           	1.213852e-01	2.294162e-01	7.582351e-02	1.592969e-01	-8.347342e-02
198           	1.207695e-01	2.284034e-01	7.891413e-02	1.602266e-01	-8.131245e-02
199           	1.201652e-01	2.274664e-01	8.179800e-02	1.610642e-01	-7.926622e-02
200           	1.196690e-01	2.268136e-01	8.434448e-02	1.618412e-01	-7.749677e-02
201           	1.193545e-01	2.265846e-01	8.651997e-02	1.626144e-01	-7.609447e-02
202           	1.192484e-01	2.268117e-01	8.840431e-02	1.634505e-01	-7.504620e-02
203           	1.193233e-01	2.273948e-01	9.012207e-02	1.643843e-01	-7.426225e-02
204           	1.195186e-01	2.281710e-01	9.180602e-02	1.654216e-01	-7.361563e-02
205           	1.197434e-01	2.289548e-01	9.355601e-02	1.665214e-01	-7.296537e-02
206           	1.199321e-01	2.296453e-01	9.542843e-02	1.676463e-01	-7.221787e-02
207           	1.200300e-01	2.301848e-01	9.739619e-02	1.687281e-01	-7.133192e-02
208           	1.200188e-01	2.305905e-01	9.939879e-02	1.697182e-01	-7.031940e-02
209           	1.199212e-01	2.309444e-01	1.013580e-01	1.706002e-01	-6.924223e-02
210           	1.198115e-01	2.313806e-01	1.031761e-01	1.713996e-01	-6.822345e-02
211           	1.197819e-01	2.320350e-01	1.047889e-01	1.721763e-01	-6.738743e-02
212           	1.198807e-01	2.329690e-01	1.061765e-01	1.729689e-01	-6.679238e-02
213           	1.200958e-01	2.341530e-01	1.073813e-01	1.737864e-01	-6.640512e-02
214           	1.203987e-01	2.355299e-01	1.084715e-01	1.746345e-01	-6.616298e-02
215           	1.210092e-01	2.378991e-01	1.092782e-01	1.756483e-01	-6.637008e-02
216           	1.218123e-01	2.408522e-01	1.099058e-01	1.767652e-01	-6.685943e-02
217           	1.226327e-01	2.438703e-01	1.105217e-01	1.778935e-01	-6.737187e-02
218           	1.232840e-01	2.464641e-01	1.111600e-01	1.788640e-01	-6.770400e-02
219           	1.237475e-01	2.485707e-01	1.118279e-01	1.796614e-01	-6.783354e-02
220           	1.240692e-01	2.503781e-01	1.125143e-01	1.803263e-01	-6.781205e-02
221           	1.243711e-01	2.522440e-01	1.132425e-01	1.809924e-01	-6.774991e-02
222           	1.247482e-01	2.544451e-01	1.139742e-01	1.817353e-01	-6.776111e-02
223           	1.252572e-01	2.570491e-01	1.144668e-01	1.824906e-01	-6.802380e-02
224           	1.259541e-01	2.601727e-01	1.147721e-01	1.833401e-01	-6.856809e-02
225           	1.268020e-01	2.636092e-01	1.147233e-01	1.841636e-01	-6.944035e-02
226           	1.278025e-01	2.673605e-01	1.145106e-01	1.850578e-01	-7.054717e-02
227           	1.288814e-01	2.712379e-01	1.141501e-01	1.859565e-01	-7.180632e-02
228           	1.299989e-01	2.751539e-01	1.136573e-01	1.868275e-01	-7.317021e-02
229           	1.311182e-01	2.791813e-01	1.133509e-01	1.877937e-01	-7.444278e-02
230           	1.322054e-01	2.832317e-01	1.131692e-01	1.887900e-01	-7.562084e-02
231           	1.332745e-01	2.873303e-01	1.130711e-01	1.898101e-01	-7.673899e-02
232           	1.343429e-01	2.915067e-01	1.130080e-01	1.908469e-01	-7.783891e-02
233           	1.354302e-01	2.957984e-01	1.129166e-01	1.918885e-01	-7.897189e-02
234           	1.365736e-01	3.002446e-01	1.127515e-01	1.929493e-01	-8.019781e-02
235           	1.377957e-01	3.048611e-01	1.125009e-01	1.940461e-01	-8.154525e-02
236           	1.390870e-01	3.096228e-01	1.121674e-01	1.951707e-01	-8.300327e-02
237           	1.404267e-01	3.144724e-01	1.116903e-01	1.962718e-01	-8.458153e-02
238           	1.417548e-01	3.193798e-01	1.112479e-01	1.973787e-01	-8.613081e-02
239           	1.430583e-01	3.242735e-01	1.107396e-01	1.984281e-01	-8.768853e-02
240           	1.443445e-01	3.291307e-01	1.100963e-01	1.993926e-01	-8.929637e-02
241           	1.455758e-01	3.339417e-01	1.095324e-01	2.003420e-01	-9.080961e-02
242           	1.467562e-01	3.386597e-01	1.090438e-01	2.012781e-01	-9.223430e-02
243           	1.479078e-01	3.432755e-01	1.085840e-01	2.021998e-01	-9.361580e-02
244           	1.490030e-01	3.477842e-01	1.082166e-01	2.031113e-01	-9.489468e-02
245           	1.500581e-01	3.521811e-01	1.078000e-01	2.039582e-01	-9.615814e-02
246           	1.510902e-01	3.564709e-01	1.072236e-01	2.047020e-01	-9.747839e-02
247           	1.520649e-01	3.606345e-01	1.065445e-01	2.053371e-01	-9.879258e-02
248           	1.530096e-01	3.646828e-01	1.057099e-01	2.058646e-01	-1.001547e-01
249           	1.539451e-01	3.686298e-01	1.047355e-01	2.063128e-01	-1.015774e-01
250           	1.548613e-01	3.724972e-01	1.037819e-01	2.067522e-01	-1.029703e-01
251           	1.557625e-01	3.762581e-01	1.028170e-01	2.071710e-01	-1.043540e-01
252           	1.566353e-01	3.798851e-01	1.018753e-01	2.075729e-01	-1.056976e-01
253           	1.574755e-01	3.833560e-01	1.009347e-01	2.079429e-01	-1.070082e-01
254           	1.582889e-01	3.867187e-01	1.001301e-01	2.083539e-01	-1.082238e-01
255           	1.590679e-01	3.899398e-01	9.943980e-02	2.087878e-01	-1.093480e-01
256           	1.598151e-01	3.930254e-01	9.888756e-02	2.092589e-01	-1.103714e-01
257           	1.605288e-01	3.959809e-01	9.845498e-02	2.097563e-01	-1.113013e-01
258           	1.612149e-01	3.988177e-01	9.811134e-02	2.102705e-01	-1.121592e-01
259           	1.618781e-01	4.015497e-01	9.779890e-02	2.107775e-01	-1.129786e-01
260           	1.625255e-01	4.041902e-01	9.748814e-02	2.112696e-01	-1.137814e-01
261           	1.631545e-01	4.067404e-01	9.714146e-02	2.117252e-01	-1.145838e-01
262           	1.637620e-01	4.091970e-01	9.676443e-02	2.121442e-01	-1.153798e-01
263           	1.643426e-01	4.115561e-01	9.634371e-02	2.125144e-01	-1.161707e-01
264           	1.648856e-01	4.138024e-01	9.588943e-02	2.128303e-01	-1.169409e-01
265           	1.653816e-01	4.159308e-01	9.540848e-02	2.130858e-01	-1.176774e-01
266           	1.658317e-01	4.179407e-01	9.491568e-02	2.132895e-01	-1.183738e-01
267           	1.662381e-01	4.198416e-01	9.437880e-02	2.134275e-01	-1.190487e-01
268           	1.666223e-01	4.216637e-01	9.378196e-02	2.135133e-01	-1.197314e-01
269           	1.669878e-01	4.234134e-01	9.308167e-02	2.135287e-01	-1.204470e-01
270           	1.673326e-01	4.250841e-01	9.227300e-02	2.134691e-01	-1.211961e-01
271           	1.676385e-01	4.266545e-01	9.132607e-02	2.133016e-01	-1.219755e-01
272           	1.679023e-01	4.281091e-01	9.025714e-02	2.130309e-01	-1.227737e-01
273           	1.681157e-01	4.294378e-01	8.903478e-02	2.126331e-01	-1.235983e-01
274           	1.682935e-01	4.306574e-01	8.766100e-02	2.121240e-01	-1.244630e-01
275           	1.684324e-01	4.317604e-01	8.611926e-02	2.114921e-01	-1.253728e-01
276           	1.685234e-01	4.327140e-01	8.444310e-02	2.107449e-01	-1.263018e-01
277           	1.685920e-01	4.335675e-01	8.261991e-02	2.099020e-01	-1.272821e-01
278           	1.686580e-01	4.344953e-01	8.117288e-02	2.092444e-01	-1.280715e-01
279           	1.687260e-01	4.355049e-01	7.970685e-02	2.085794e-01	-1.288726e-01
280           	1.687843e-01	4.364310e-01	7.800051e-02	2.077845e-01	-1.297840e-01
281           	1.687475e-01	4.370470e-01	7.598067e-02	2.067378e-01	-1.307572e-01
282           	1.686088e-01	4.372715e-01	7.361106e-02	2.054143e-01	-1.318032e-01
283           	1.682973e-01	4.369942e-01	7.094455e-02	2.037695e-01	-1.328250e-01
284           	1.678250e-01	4.362799e-01	6.811336e-02	2.018816e-01	-1.337683e-01
285           	1.672267e-01	4.352718e-01	6.525307e-02	1.998533e-01	-1.346002e-01
286           	1.665105e-01	4.340495e-01	6.251382e-02	1.977674e-01	-1.352536e-01
287           	1.657956e-01	4.328696e-01	5.995265e-02	1.957719e-01	-1.358193e-01
288           	1.650797e-01	4.317217e-01	5.758976e-02	1.938746e-01	-1.362848e-01
289           	1.644149e-01	4.306794e-01	5.534172e-02	1.920858e-01	-1.367441e-01
290           	1.637832e-01	4.296586e-01	5.314971e-02	1.903581e-01	-1.372084e-01
291           	1.632032e-01	4.286592e-01	5.093308e-02	1.886698e-01	-1.377367e-01
292           	1.626350e-01	4.275744e-01	4.866501e-02	1.869675e-01	-1.383025e-01
293           	1.620989e-01	4.264343e-01	4.630574e-02	1.852518e-01	-1.389461e-01
294           	1.615519e-01	4.251654e-01	4.389313e-02	1.834984e-01	-1.396053e-01
295           	1.610022e-01	4.238078e-01	4.144067e-02	1.817225e-01	-1.402819e-01
296           	1.604833e-01	4.224435e-01	3.900701e-02	1.799868e-01	-1.409798e-01
297           	1.599390e-01	4.209946e-01	3.663429e-02	1.782561e-01	-1.416219e-01
