# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
116           	1.568574e-01	4.120056e-01	6.623053e-02	1.899727e-01	-1.237421e-01
117           	1.568337e-01	4.120729e-01	6.612672e-02	1.898971e-01	-1.237704e-01
118           	1.568465e-01	4.121654e-01	6.594458e-02	1.898188e-01	-1.238742e-01
119           	1.568504e-01	4.121928e-01	6.583082e-02	1.897658e-01	-1.239349e-01
120           	1.568926e-01	4.122392e-01	6.572442e-02	1.897549e-01	-1.240304e-01
121           	1.569024e-01	4.122327e-01	6.571469e-02	1.897598e-01	-1.240451e-01
122           	1.569075e-01	4.121722e-01	6.566802e-02	1.897415e-01	-1.240735e-01
123           	1.568959e-01	4.121235e-01	6.571029e-02	1.897511e-01	-1.240408e-01
124           	1.568841e-01	4.120389e-01	6.574221e-02	1.897552e-01	-1.240130e-01
125           	1.568552e-01	4.119639e-01	6.580763e-02	1.897590e-01	-1.239514e-01
126           	1.568481e-01	4.118596e-01	6.592575e-02	1.898109e-01	-1.238852e-01
127           	1.568490e-01	4.118128e-01	6.603741e-02	1.898677e-01	-1.238303e-01
128           	1.568794e-01	4.117624e-01	6.619550e-02	1.899771e-01	-1.237816e-01
129           	1.569032e-01	4.117807e-01	6.629508e-02	1.900508e-01	-1.237557e-01
130           	1.569606e-01	4.118056e-01	6.641996e-02	1.901706e-01	-1.237506e-01
131           	1.570000e-01	4.118567e-01	6.652935e-02	1.902647e-01	-1.237354e-01
132           	1.570996e-01	4.119844e-01	6.662935e-02	1.904143e-01	-1.237849e-01
133           	1.571503e-01	4.120757e-01	6.673773e-02	1.905191e-01	-1.237814e-01
134           	1.572495e-01	4.122422e-01	6.683109e-02	1.906651e-01	-1.238340e-01
135           	1.573066e-01	4.123917e-01	6.692115e-02	1.907672e-01	-1.238460e-01
136           	1.573917e-01	4.126047e-01	6.696772e-02	1.908755e-01	-1.239078e-01
137           	1.574324e-01	4.127587e-01	6.704621e-02	1.909555e-01	-1.239093e-01
138           	1.575501e-01	4.130279e-01	6.712531e-02	1.911127e-01	-1.239874e-01
139           	1.576184e-01	4.132177e-01	6.722762e-02	1.912322e-01	-1.240046e-01
140           	1.577590e-01	4.135533e-01	6.726864e-02	1.913934e-01	-1.241247e-01
141           	1.578044e-01	4.137322e-01	6.735354e-02	1.914812e-01	-1.241277e-01
142           	1.579381e-01	4.140414e-01	6.739254e-02	1.916344e-01	-1.242418e-01
143           	1.579945e-01	4.142097e-01	6.751007e-02	1.917496e-01	-1.242395e-01
144           	1.581338e-01	4.145286e-01	6.753024e-02	1.918989e-01	-1.243687e-01
145           	1.582130e-01	4.147139e-01	6.764535e-02	1.920357e-01	-1.243904e-01
146           	1.583502e-01	4.149986e-01	6.767062e-02	1.921855e-01	-1.245148e-01
147           	1.584289e-01	4.152037e-01	6.767122e-02	1.922645e-01	-1.245933e-01
148           	1.585473e-01	4.154533e-01	6.760925e-02	1.923519e-01	-1.247426e-01
149           	1.586211e-01	4.156184e-01	6.755757e-02	1.923999e-01	-1.248424e-01
150           	1.587368e-01	4.158407e-01	6.742888e-02	1.924513e-01	-1.250224e-01
151           	1.587965e-01	4.159789e-01	6.729145e-02	1.924422e-01	-1.251508e-01
152           	1.588307e-01	4.161023e-01	6.708669e-02	1.923741e-01	-1.252874e-01
153           	1.588005e-01	4.161097e-01	6.691363e-02	1.922574e-01	-1.253437e-01
154           	1.587641e-01	4.160984e-01	6.673001e-02	1.921291e-01	-1.253991e-01
155           	1.586853e-01	4.160033e-01	6.659847e-02	1.919845e-01	-1.253860e-01
156           	1.585958e-01	4.158860e-01	6.649901e-02	1.918453e-01	-1.253463e-01
157           	1.584688e-01	4.156930e-01	6.646397e-02	1.917008e-01	-1.252368e-01
158           	1.583524e-01	4.155122e-01	6.645604e-02	1.915804e-01	-1.251244e-01
159           	1.582203e-01	4.152953e-01	6.650635e-02	1.914735e-01	-1.249672e-01
160           	1.581071e-01	4.150849e-01	6.659021e-02	1.914022e-01	-1.248120e-01
161           	1.580249e-01	4.148936e-01	6.672965e-02	1.913897e-01	-1.246601e-01
162           	1.579791e-01	4.147496e-01	6.686067e-02	1.914095e-01	-1.245488e-01
163           	1.579483e-01	4.146140e-01	6.701065e-02	1.914536e-01	-1.244430e-01
164           	1.579507e-01	4.145293e-01	6.712365e-02	1.915125e-01	-1.243889e-01
165           	1.579372e-01	4.144283e-01	6.724154e-02	1.915579e-01	-1.243164e-01
166           	1.579325e-01	4.143589e-01	6.731419e-02	1.915896e-01	-1.242754e-01
167           	1.578699e-01	4.142247e-01	6.740393e-02	1.915718e-01	-1.241679e-01
168           	1.578296e-01	4.141110e-01	6.746935e-02	1.915643e-01	-1.240950e-01
169           	1.577241e-01	4.139537e-01	6.756732e-02	1.915078e-01	-1.239404e-01
170           	1.576540e-01	4.138220e-01	6.762876e-02	1.914683e-01	-1.238396e-01
171           	1.575341e-01	4.136498e-01	6.773546e-02	1.914018e-01	-1.236664e-01
172           	1.574729e-01	4.135439e-01	6.780414e-02	1.913750e-01	-1.235708e-01
173           	1.573949e-01	4.134172e-01	6.789420e-02	1.913420e-01	-1.234478e-01
174           	1.573800e-01	4.133834e-01	6.794557e-02	1.913527e-01	-1.234072e-01
175           	1.573384e-01	4.133003e-01	6.800523e-02	1.913411e-01	-1.233358e-01
176           	1.573526e-01	4.132966e-01	6.803863e-02	1.913719e-01	-1.233333e-01
177           	1.573344e-01	4.132461e-01	6.802894e-02	1.913489e-01	-1.233199e-01
178           	1.573520e-01	4.132496e-01	6.799372e-02	1.913488e-01	-1.233551e-01
179           	1.573551e-01	4.132427e-01	6.795600e-02	1.913331e-01	-1.233771e-01
180           	1.573621e-01	4.132209e-01	6.788797e-02	1.913060e-01	-1.234181e-01
181           	1.573495e-01	4.131765e-01	6.785043e-02	1.912747e-01	-1.234243e-01
182           	1.573332e-01	4.131229e-01	6.776889e-02	1.912176e-01	-1.234488e-01
183           	1.572999e-01	4.130662e-01	6.772871e-02	1.911642e-01	-1.234355e-01
184           	1.572649e-01	4.129981e-01	6.767726e-02	1.911036e-01	-1.234263e-01
185           	1.571992e-01	4.128917e-01	6.766278e-02	1.910306e-01	-1.233678e-01
186           	1.571742e-01	4.128762e-01	6.761538e-02	1.909819e-01	-1.233665e-01
187           	1.571478e-01	4.128449e-01	6.767139e-02	1.909835e-01	-1.233121e-01
188           	1.571348e-01	4.128504e-01	6.764706e-02	1.909583e-01	-1.233113e-01
189           	1.571179e-01	4.128566e-01	6.769494e-02	1.909654e-01	-1.232704e-01
190           	1.570959e-01	4.128498e-01	6.766919e-02	1.909305e-01	-1.232613e-01
191           	1.571189e-01	4.129026e-01	6.775133e-02	1.909945e-01	-1.232432e-01
192           	1.571289e-01	4.129472e-01	6.774346e-02	1.910007e-01	-1.232572e-01
193           	1.571591e-01	4.130087e-01	6.787848e-02	1.910983e-01	-1.232198e-01
194           	1.571883e-01	4.130633e-01	6.790994e-02	1.911433e-01	-1.232334e-01
195           	1.572613e-01	4.131756e-01	6.807960e-02	1.913011e-01	-1.232215e-01
196           	1.573147e-01	4.132582e-01	6.810138e-02	1.913654e-01	-1.232640e-01
197           	1.573892e-01	4.134050e-01	6.822156e-02	1.914999e-01	-1.232784e-01
198           	1.574693e-01	4.135449e-01	6.823995e-02	1.915893e-01	-1.233494e-01
199           	1.576108e-01	4.137775e-01	6.839927e-02	1.918104e-01	-1.234111e-01
200           	1.577197e-01	4.139949e-01	6.837112e-02	1.919053e-01	-1.235341e-01
201           	1.578456e-01	4.142515e-01	6.844791e-02	1.920696e-01	-1.236217e-01
202           	1.579651e-01	4.145168e-01	6.835101e-02	1.921406e-01	-1.237896e-01
203           	1.581390e-01	4.148776e-01	6.839968e-02	1.923388e-01	-1.239391e-01
204           	1.583022e-01	4.152544e-01	6.827433e-02	1.924393e-01	-1.241650e-01
205           	1.584878e-01	4.156796e-01	6.826080e-02	1.926182e-01	-1.243574e-01
206           	1.586518e-01	4.160875e-01	6.809738e-02	1.927005e-01	-1.246031e-01
207           	1.588184e-01	4.165273e-01	6.801496e-02	1.928259e-01	-1.248109e-01
208           	1.589139e-01	4.168563e-01	6.776792e-02	1.927978e-01	-1.250299e-01
209           	1.589767e-01	4.171097e-01	6.763924e-02	1.927963e-01	-1.251571e-01
210           	1.589600e-01	4.171821e-01	6.739487e-02	1.926575e-01	-1.252626e-01
211           	1.588928e-01	4.171318e-01	6.728196e-02	1.925338e-01	-1.252519e-01
212           	1.587416e-01	4.169031e-01	6.704904e-02	1.922661e-01	-1.252171e-01
213           	1.585447e-01	4.165748e-01	6.693154e-02	1.920104e-01	-1.250789e-01
214           	1.582908e-01	4.160936e-01	6.675656e-02	1.916691e-01	-1.249126e-01
215           	1.580700e-01	4.155998e-01	6.676945e-02	1.914547e-01	-1.246853e-01
216           	1.578550e-01	4.150677e-01	6.670489e-02	1.912075e-01	-1.245026e-01
217           	1.576893e-01	4.145872e-01	6.677437e-02	1.910765e-01	-1.243021e-01
218           	1.575900e-01	4.141973e-01	6.673834e-02	1.909591e-01	-1.242208e-01
219           	1.575953e-01	4.139825e-01	6.679873e-02	1.909947e-01	-1.241960e-01
220           	1.576368e-01	4.138508e-01	6.675773e-02	1.910157e-01	-1.242580e-01
221           	1.577466e-01	4.138565e-01	6.683267e-02	1.911629e-01	-1.243302e-01
